Filename,Number,Old Formula,New Formula
I.6.2a,1.0,exp(-theta**2/2)/sqrt(2*pi),exp(-x0**2/2)/sqrt(2*pi)
I.6.2,2.0,exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),exp(-(x1/x0)**2/2)/(sqrt(2*pi)*x0)
I.6.2b,3.0,exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),exp(-((x1-x2)/x0)**2/2)/(sqrt(2*pi)*x0)
I.8.14,4.0,sqrt((x2-x1)**2+(y2-y1)**2),sqrt((x2-x1)**2+(x3-x0)**2)
I.9.18,5.0,G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),x4*x0*x3/((x2-x1)**2+(x6-x5)**2+(x8-x7)**2)
I.10.7,6.0,m_0/sqrt(1-v**2/c**2),x0/sqrt(1-x1**2/x2**2)
I.11.19,7.0,x1*y1+x2*y2+x3*y3,x1*x0+x2*x4+x3*x5
I.12.1,8.0,mu*Nn,x0*x1
I.12.2,10.0,q1*q2*r/(4*pi*epsilon*r**3),x0*x1*x3/(4*pi*x2*x3**3)
I.12.4,11.0,q1*r/(4*pi*epsilon*r**3),x0*x2/(4*pi*x1*x2**3)
I.12.5,12.0,q2*Ef,x0*x1
I.12.11,13.0,q*(Ef+B*v*sin(theta)),x0*(x1+x2*x3*sin(x4))
I.13.4,9.0,1/2*m*(v**2+u**2+w**2),1/2*x0*(x1**2+x2**2+x3**2)
I.13.12,14.0,G*m1*m2*(1/r2-1/r1),x4*x0*x1*(1/x3-1/x2)
I.14.3,15.0,m*g*z,x0*x1*x2
I.14.4,16.0,1/2*k_spring*x**2,1/2*x0*x1**2
I.15.3x,17.0,(x-u*t)/sqrt(1-u**2/c**2),(x0-x1*x3)/sqrt(1-x1**2/x2**2)
I.15.3t,18.0,(t-u*x/c**2)/sqrt(1-u**2/c**2),(x3-x2*x0/x1**2)/sqrt(1-x2**2/x1**2)
I.15.1,19.0,m_0*v/sqrt(1-v**2/c**2),x0*x1/sqrt(1-x1**2/x2**2)
I.16.6,20.0,(u+v)/(1+u*v/c**2),(x2+x1)/(1+x2*x1/x0**2)
I.18.4,21.0,(m1*r1+m2*r2)/(m1+m2),(x0*x2+x1*x3)/(x0+x1)
I.18.12,22.0,r*F*sin(theta),x0*x1*sin(x2)
I.18.14,23.0,m*r*v*sin(theta),x0*x1*x2*sin(x3)
I.24.6,24.0,1/2*m*(omega**2+omega_0**2)*1/2*x**2,1/2*x0*(x1**2+x2**2)*1/2*x3**2
I.25.13,25.0,q/C,x0/x1
I.26.2,26.0,arcsin(n*sin(theta2)),arcsin(x0*sin(x1))
I.27.6,27.0,1/(1/d1+n/d2),1/(1/x0+x2/x1)
I.29.4,28.0,omega/c,x0/x1
I.29.16,29.0,sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),sqrt(x1**2+x2**2-2*x1*x2*cos(x0-x3))
I.30.3,30.0,Int_0*sin(n*theta/2)**2/sin(theta/2)**2,x0*sin(x2*x1/2)**2/sin(x1/2)**2
I.30.5,31.0,arcsin(lambd/(n*d)),arcsin(x0/(x2*x1))
I.32.5,32.0,q**2*a**2/(6*pi*epsilon*c**3),x0**2*x1**2/(6*pi*x2*x3**3)
I.32.17,33.0,(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),(1/2*x0*x1*x2**2)*(8*pi*x3**2/3)*(x4**4/(x4**2-x5**2)**2)
I.34.8,34.0,q*v*B/p,x0*x1*x2/x3
I.34.1,35.0,omega_0/(1-v/c),x2/(1-x1/x0)
I.34.14,36.0,(1+v/c)/sqrt(1-v**2/c**2)*omega_0,(1+x1/x0)/sqrt(1-x1**2/x0**2)*x2
I.34.27,37.0,(h/(2*pi))*omega,(x1/(2*pi))*x0
I.37.4,38.0,I1+I2+2*sqrt(I1*I2)*cos(delta),x0+x1+2*sqrt(x0*x1)*cos(x2)
I.38.12,39.0,4*pi*epsilon*(h/(2*pi))**2/(m*q**2),4*pi*x3*(x2/(2*pi))**2/(x0*x1**2)
I.39.1,40.0,3/2*pr*V,3/2*x0*x1
I.39.11,41.0,1/(gamma-1)*pr*V,1/(x0-1)*x1*x2
I.39.22,42.0,n*kb*T/V,x0*x3*x1/x2
I.40.1,43.0,n_0*exp(-m*g*x/(kb*T)),x0*exp(-x1*x4*x2/(x5*x3))
I.41.16,44.0,h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),x2/(2*pi)*x0**3/(pi**2*x4**2*(exp((x2/(2*pi))*x0/(x3*x1))-1))
I.43.16,45.0,mu_drift*q*Volt/d,x0*x1*x2/x3
I.43.31,46.0,mob*kb*T,x0*x2*x1
I.43.43,47.0,1/(gamma-1)*kb*v/A,1/(x0-1)*x1*x3/x2
I.44.4,48.0,n*kb*T*ln(V2/V1),x0*x1*x2*ln(x4/x3)
I.47.23,49.0,sqrt(gamma*pr/rho),sqrt(x0*x1/x2)
I.48.2,50.0,m*c**2/sqrt(1-v**2/c**2),x0*x2**2/sqrt(1-x1**2/x2**2)
I.50.26,51.0,x1*(cos(omega*t)+alpha*cos(omega*t)**2),x1*(cos(x0*x2)+x3*cos(x0*x2)**2)
II.2.42,52.0,kappa*(T2-T1)*A/d,x0*(x2-x1)*x3/x4
II.3.24,53.0,Pwr/(4*pi*r**2),x0/(4*pi*x1**2)
II.4.23,54.0,q/(4*pi*epsilon*r),x0/(4*pi*x1*x2)
II.6.11,55.0,1/(4*pi*epsilon)*p_d*cos(theta)/r**2,1/(4*pi*x0)*x1*cos(x2)/x3**2
II.6.15a,56.0,p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2),x1/(4*pi*x0)*3*x5/x2**5*sqrt(x3**2+x4**2)
II.6.15b,57.0,p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3,x1/(4*pi*x0)*3*cos(x2)*sin(x2)/x3**3
II.8.7,58.0,3/5*q**2/(4*pi*epsilon*d),3/5*x0**2/(4*pi*x1*x2)
II.8.31,59.0,epsilon*Ef**2/2,x0*x1**2/2
II.10.9,60.0,sigma_den/epsilon*1/(1+chi),x0/x1*1/(1+x2)
II.11.3,61.0,q*Ef/(m*(omega_0**2-omega**2)),x0*x1/(x2*(x3**2-x4**2))
II.11.17,62.0,n_0*(1+p_d*Ef*cos(theta)/(kb*T)),x0*(1+x4*x5*cos(x3)/(x1*x2))
II.11.20,63.0,n_rho*p_d**2*Ef/(3*kb*T),x0*x1**2*x2/(3*x3*x4)
II.11.27,64.0,n*alpha/(1-(n*alpha/3))*epsilon*Ef,x0*x1/(1-(x0*x1/3))*x2*x3
II.11.28,65.0,1+n*alpha/(1-(n*alpha/3)),1+x0*x1/(1-(x0*x1/3))
II.13.17,66.0,1/(4*pi*epsilon*c**2)*2*I/r,1/(4*pi*x0*x1**2)*2*x2/x3
II.13.23,67.0,rho_c_0/sqrt(1-v**2/c**2),x0/sqrt(1-x1**2/x2**2)
II.13.34,68.0,rho_c_0*v/sqrt(1-v**2/c**2),x0*x1/sqrt(1-x1**2/x2**2)
II.15.4,69.0,-mom*B*cos(theta),-x0*x1*cos(x2)
II.15.5,70.0,-p_d*Ef*cos(theta),-x0*x1*cos(x2)
II.21.32,71.0,q/(4*pi*epsilon*r*(1-v/c)),x0/(4*pi*x1*x2*(1-x3/x4))
II.24.17,72.0,sqrt(omega**2/c**2-pi**2/d**2),sqrt(x0**2/x1**2-pi**2/x2**2)
II.27.16,73.0,epsilon*c*Ef**2,x0*x1*x2**2
II.27.18,74.0,epsilon*Ef**2,x0*x1**2
II.34.2a,75.0,q*v/(2*pi*r),x0*x1/(2*pi*x2)
II.34.2,76.0,q*v*r/2,x0*x1*x2/2
II.34.11,77.0,g_*q*B/(2*m),x0*x1*x2/(2*x3)
II.34.29a,78.0,q*h/(4*pi*m),x0*x1/(4*pi*x2)
II.34.29b,79.0,g_*mom*B*Jz/(h/(2*pi)),x0*x3*x4*x2/(x1/(2*pi))
II.35.18,80.0,n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T))),x0/(exp(x3*x4/(x1*x2))+exp(-x3*x4/(x1*x2)))
II.35.21,81.0,n_rho*mom*tanh(mom*B/(kb*T)),x0*x1*tanh(x1*x2/(x3*x4))
II.36.38,82.0,mom*H/(kb*T)+(mom*alpha)/(epsilon*c**2*kb*T)*M,x0*x1/(x2*x3)+(x0*x4)/(x5*x6**2*x2*x3)*x7
II.37.1,83.0,mom*(1+chi)*B,x0*(1+x2)*x1
II.38.3,84.0,Y*A*x/d,x0*x1*x3/x2
II.38.14,85.0,Y/(2*(1+sigma)),x0/(2*(1+x1))
III.4.32,86.0,1/(exp((h/(2*pi))*omega/(kb*T))-1),1/(exp((x0/(2*pi))*x1/(x2*x3))-1)
III.4.33,87.0,(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),(x0/(2*pi))*x1/(exp((x0/(2*pi))*x1/(x2*x3))-1)
III.7.38,88.0,2*mom*B/(h/(2*pi)),2*x0*x1/(x2/(2*pi))
III.8.54,89.0,sin(E_n*t/(h/(2*pi)))**2,sin(x0*x1/(x2/(2*pi)))**2
III.9.52,90.0,(p_d*Ef*t/(h/(2*pi)))*sin((omega-omega_0)*t/2)**2/((omega-omega_0)*t/2)**2,(x0*x1*x2/(x3/(2*pi)))*sin((x4-x5)*x2/2)**2/((x4-x5)*x2/2)**2
III.10.19,91.0,mom*sqrt(Bx**2+By**2+Bz**2),x0*sqrt(x1**2+x2**2+x3**2)
III.12.43,92.0,n*(h/(2*pi)),x0*(x1/(2*pi))
III.13.18,93.0,2*E_n*d**2*k/(h/(2*pi)),2*x0*x1**2*x2/(x3/(2*pi))
III.14.14,94.0,I_0*(exp(q*Volt/(kb*T))-1),x0*(exp(x1*x2/(x3*x4))-1)
III.15.12,95.0,2*U*(1-cos(k*d)),2*x0*(1-cos(x1*x2))
III.15.14,96.0,(h/(2*pi))**2/(2*E_n*d**2),(x0/(2*pi))**2/(2*x1*x2**2)
III.15.27,97.0,2*pi*alpha/(n*d),2*pi*x0/(x1*x2)
III.17.37,98.0,beta*(1+alpha*cos(theta)),x0*(1+x1*cos(x2))
III.19.51,99.0,-m*q**4/(2*(4*pi*epsilon)**2*(h/(2*pi))**2)*(1/n**2),-x0*x1**4/(2*(4*pi*x4)**2*(x2/(2*pi))**2)*(1/x3**2)
III.21.20,100.0,-rho_c_0*q*A_vec/m,-x0*x1*x2/x3
