Filename,Number,Old Formula,New Formula
I.6.2a,1,exp(-theta**2/2)/sqrt(2*pi),exp(-x0**2/2)/sqrt(2*pi)
I.6.2,2,exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),exp(-(x1/x0)**2/2)/(sqrt(2*pi)*x0)
I.6.2b,3,exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),exp(-((x1-x2)/x0)**2/2)/(sqrt(2*pi)*x0)
I.8.14,4,sqrt((x2-x1)**2+(y2-y1)**2),sqrt((x2-x1)**2+(x3-x0)**2)
I.9.18,5,G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),x4*x0*x3/((x2-x1)**2+(x6-x5)**2+(x8-x7)**2)
I.10.7,6,m_0/sqrt(1-v**2/c**2),x0/sqrt(1-x1**2/x2**2)
I.11.19,7,x1*y1+x2*y2+x3*y3,x1*x0+x2*x4+x3*x5
I.12.1,8,mu*Nn,x0*x1
I.12.2,10,q1*q2*r/(4*pi*epsilon*r**3),x0*x1*x3/(4*pi*x2*x3**3)
I.12.4,11,q1*r/(4*pi*epsilon*r**3),x0*x2/(4*pi*x1*x2**3)
I.12.5,12,q2*Ef,x0*x1
I.12.11,13,q*(Ef+B*v*sin(theta)),x0*(x1+x2*x3*sin(x4))
I.13.4,9,1/2*m*(v**2+u**2+w**2),1/2*x0*(x1**2+x2**2+x3**2)
I.13.12,14,G*m1*m2*(1/r2-1/r1),x4*x0*x1*(1/x3-1/x2)
I.14.3,15,m*g*z,x0*x1*x2
I.14.4,16,1/2*k_spring*x**2,1/2*x0*x1**2
I.15.3x,17,(x-u*t)/sqrt(1-u**2/c**2),(x0-x1*x3)/sqrt(1-x1**2/x2**2)
I.15.3t,18,(t-u*x/c**2)/sqrt(1-u**2/c**2),(x3-x2*x0/x1**2)/sqrt(1-x2**2/x1**2)
I.15.1,19,m_0*v/sqrt(1-v**2/c**2),x0*x1/sqrt(1-x1**2/x2**2)
I.16.6,20,(u+v)/(1+u*v/c**2),(x2+x1)/(1+x2*x1/x0**2)
I.18.4,21,(m1*r1+m2*r2)/(m1+m2),(x0*x2+x1*x3)/(x0+x1)
I.18.12,22,r*F*sin(theta),x0*x1*sin(x2)
I.18.14,23,m*r*v*sin(theta),x0*x1*x2*sin(x3)
I.24.6,24,1/2*m*(omega**2+omega_0**2)*1/2*x**2,1/2*x0*(x1**2+x2**2)*1/2*x3**2
I.25.13,25,q/C,x0/x1
I.26.2,26,arcsin(n*sin(theta2)),arcsin(x0*sin(x1))
I.27.6,27,1/(1/d1+n/d2),1/(1/x0+x2/x1)
I.29.4,28,omega/c,x0/x1
