Filename;Number;Output;Formula;# variables;v1_name;v1_low;v1_high;v2_name;v2_low;v2_high;v3_name;v3_low;v3_high;v4_name;v4_low;v4_high;v5_name;v5_low;v5_high;v6_name;v6_low;v6_high;v7_name;v7_low;v7_high;v8_name;v8_low;v8_high;v9_name;v9_low;v9_high;v10_name;v10_low;v10_high;v11_name;v11_low;v12_high;
I.6.2a;1;f;exp(-theta**2/2)/sqrt(2*pi);1;theta;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I.6.2;2;f;exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma);2;sigma;1;3;theta;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I.6.2b;3;f;exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma);3;sigma;1;3;theta;1;3;theta1;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
I.8.14;4;d;sqrt((x2-x1)**2+(y2-y1)**2);4;x1;1;5;x2;1;5;y1;1;5;y2;1;5;;;;;;;;;;;;;;;;;;;;;;
I.9.18;5;F;G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2);9;m1;1;2;m2;1;2;G;1;2;x1;3;4;x2;1;2;y1;3;4;y2;1;2;z1;3;4;z2;1;2;;;;;;;
I.10.7;6;m;m_0/sqrt(1-v**2/c**2);3;m_0;1;5;v;1;2;c;3;10;;;;;;;;;;;;;;;;;;;;;;;;;
I.11.19;7;A;x1*y1+x2*y2+x3*y3;6;x1;1;5;x2;1;5;x3;1;5;y1;1;5;y2;1;5;y3;1;5;;;;;;;;;;;;;;;;
I.12.1;8;F;mu*Nn;2;mu;1;5;Nn;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I.12.2;10;F;q1*q2*r/(4*pi*epsilon*r**3);4;q1;1;5;q2;1;5;epsilon;1;5;r;1;5;;;;;;;;;;;;;;;;;;;;;;
I.12.4;11;Ef;q1*r/(4*pi*epsilon*r**3);3;q1;1;5;epsilon;1;5;r;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
I.12.5;12;F;q2*Ef;2;q2;1;5;Ef;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I.12.11;13;F;q*(Ef+B*v*sin(theta));5;q;1;5;Ef;1;5;B;1;5;v;1;5;theta;1;5;;;;;;;;;;;;;;;;;;;
I.13.4;9;K;1/2*m*(v**2+u**2+w**2);4;m;1;5;v;1;5;u;1;5;w;1;5;;;;;;;;;;;;;;;;;;;;;;
I.13.12;14;U;G*m1*m2*(1/r2-1/r1);5;m1;1;5;m2;1;5;r1;1;5;r2;1;5;G;1;5;;;;;;;;;;;;;;;;;;;
I.14.3;15;U;m*g*z;3;m;1;5;g;1;5;z;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
